GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003
"G010","1850","Alabama","010",,"Alabama",219483,207031,1056,1209,171804,171040,426514,2265,342844
"G050","1850","Arkansas","050",,"Arkansas",85874,76315,314,294,23658,23442,162189,608,47100
"G060","1850","California","060",,"California",84708,6927,872,90,0,0,91635,962,0
"G090","1850","Connecticut","090",,"Connecticut",179884,183215,3820,3873,0,0,363099,7693,0
"G100","1850","Delaware","100",,"Delaware",35746,35423,9035,9038,1174,1116,71169,18073,2290
"G110","1850","District Of Columbia","110",,"District of Columbia",18494,19447,4248,5811,1422,2265,37941,10059,3687
"G120","1850","Florida","120",,"Florida",25705,21498,418,514,19804,19506,47203,932,39310
"G130","1850","Georgia","130",,"Georgia",266233,255339,1375,1556,188857,192825,521572,2931,381682
"G170","1850","Illinois","170",,"Illinois",445544,400490,2777,2659,0,0,846034,5436,0
"G180","1850","Indiana","180",,"Indiana",506178,470976,5715,5547,0,0,977154,11262,0
"G190","1850","Iowa","190",,"Iowa",100887,90994,165,168,0,0,191881,333,0
"G210","1850","Kentucky","210",,"Kentucky",392804,368609,4863,5148,105063,105918,761413,10011,210981
"G220","1850","Louisiana","220",,"Louisianna",141243,114248,7479,9983,125874,118935,255491,17462,244809
"G230","1850","Maine","230",,"Maine",296745,285068,726,630,0,0,581813,1356,0
"G240","1850","Maryland","240",,"Maryland",211187,206756,35192,39531,45944,44424,417943,74723,90368
"G250","1850","Massachusetts","250",,"Massachusetts",484093,501357,4424,4640,0,0,985450,9064,0
"G260","1850","Michigan","260",,"Michigan",208465,186606,1431,1152,0,0,395071,2583,0
"G275","1850","Minnesota Territory","275",,"Minnesota Territory",3695,2343,21,18,0,0,6038,39,0
"G280","1850","Mississippi","280",,"Mississippi",156287,139431,474,456,154963,154915,295718,930,309878
"G290","1850","Missouri","290",,"Missouri",312987,279017,1361,1257,43484,43938,592004,2618,87422
"G330","1850","New Hampshire","330",,"New Hampshire",155960,161496,260,260,0,0,317456,520,0
"G340","1850","New Jersey","340",,"New Jersey",233452,232057,11798,12012,96,140,465509,23810,236
"G355","1850","New Mexico Territory","355",,"New Mexico Territory",31725,29800,17,5,0,0,61525,22,0
"G360","1850","New York","360",,"New York",1544489,1503836,23452,25617,0,0,3048325,49069,0
"G370","1850","North Carolina","370",,"North Carolina",273025,280003,13298,14165,144581,143967,553028,27463,288548
"G390","1850","Ohio","390",,"Ohio",1004117,950933,12691,12588,0,0,1955050,25279,0
"G413","1850","Oregon Territory","413",,"Oregon Territory",8138,4949,120,87,0,0,13087,207,0
"G420","1850","Pennsylvania","420",,"Pennsylvania",1142734,1115426,25369,28257,0,0,2258160,53626,0
"G440","1850","Rhode Island","440",,"Rhode Island",70340,73535,1738,1932,0,0,143875,3670,0
"G450","1850","South Carolina","450",,"South Carolina",137747,136816,4131,4829,187756,197228,274563,8960,384984
"G470","1850","Tennessee","470",,"Tennessee",382235,374601,3117,3305,118780,120679,756836,6422,239459
"G480","1850","Texas","480",,"Texas",84869,69165,211,186,28700,29461,154034,397,58161
"G495","1850","Utah Territory","495",,"Utah Territory",6020,5310,14,10,12,14,11330,24,26
"G500","1850","Vermont","500",,"Vermont",159658,153744,375,343,0,0,313402,718,0
"G510","1850","Virginia","510",,"Virginia",451300,443500,26002,28331,240562,231966,894800,54333,472528
"G550","1850","Wisconsin","550",,"Wisconsin",164351,140405,365,270,0,0,304756,635,0
